agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
LRMC,Light Rail Manila Corporation (LRT-1),https://lrt.com.ph,Asia/Manila,fil,,,
LRTA,Light Rail Transit Authority (LRT-2),https://www.lrta.gov.ph,Asia/Manila,fil,,,
MRT3,Metro Rail Transit Line 3 (DOTr),https://www.dotr.gov.ph,Asia/Manila,fil,,,https://www.dotr.gov.ph
PNR,Philippine National Railways (suspended — NSCR construction),https://www.pnr.gov.ph,Asia/Manila,fil,,,
EDSACAR,EDSA Carousel (EDSA Busway Route 1),https://www.edsacarousel.ph,Asia/Manila,fil,,,
ESTC,ES Transport and Partners Consortium,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
MMTC,Mega Manila Consortium Corporation,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
BGCBUS,Bonifacio Transport Corporation (BGC Bus),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
QCITYBUS,Quezon City TTMD — QCity Bus (free service),https://www.quezoncity.gov.ph,Asia/Manila,fil,,,
GETPH,Global Electric Transport Philippines (Love Bus / COMET Bus),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
HMTRANS,HM Transport Inc.,https://www.hmtransportinc.com,Asia/Manila,fil,09778884684,,info@hmtransportinc.com
MMBC,Metro Manila Bus Co. (JAC Liner Group subsidiary),https://www.jacliner.com,Asia/Manila,fil,,,
RRCG,RRCG Transport System (Southern Carrier Co. Inc.),https://www.facebook.com/rrcgp2pbus,Asia/Manila,fil,(02) 646-7503,,
KTI,Kellen Transport Incorporated,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
ESE,Earth Star Express,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
JAYROSS,Jayross Lucky Seven Tours,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
FVBUS,Fairview Bus Inc.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
FERMINA,Fermina Express,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
FUNRIDE,Funride Transport (formerly WLH Trans),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GASAT,Gasat Express,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GLINER,G Liner (De Guia Enterprises Inc.),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GRLINE,Greenline Express,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
ROVT,ROV Transport,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
ROVAL,Roval Transport Corp.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
RGSML,Regal Starliner Transport Services Inc.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
RNLB,Reinalyn Bus Lines Corp.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
MALTC,Marikina Auto Line Transport Corporation (reported inactive Jun 2025),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
ALTSCOOP,Alabang Transport Service Cooperative,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
LIPPAD,Lippad Trans (Route 17 per OSM),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
UBEX,UBE Express (Air Freight 2100 Inc.),https://www.ubeexpress.com,Asia/Manila,fil,+63 998 386 7229,,inquiry@ubeexpress.com
DNS,Delta Neosolutions (TRIPKO card),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
METROE,MetroExpress Connect Inc.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SRTX,Saint Rose Transit (Calamba P2P),https://www.facebook.com/calambaP2P,Asia/Manila,fil,09230832264,,
AMBLK,Alabang Metrolink Bus Corp.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
PGTS,Precious Grace Transport Services,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SAGTXP2P,San Agustin Transport Service (P2P — circuit Makati routes),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
ALPSBUS,ALPS The Bus Inc. (JAC Liner Group),https://www.jacliner.com,Asia/Manila,fil,,,
TASTRANS,TAS Trans (HM Transport affiliate — Laguna P2P),https://www.hmtransportinc.com,Asia/Manila,fil,09778884684,,
VICT,Victory Liner Inc.,https://www.victoryliner.com,Asia/Manila,fil,,,
FVSB,Five Star Bus Company,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GNST,Genesis Transport Service Inc. (JoyBus / Clark P2P),https://www.genesisjoybus.com,Asia/Manila,fil,,,
PRTS,Partas Transportation Co.,https://www.partasbus.com,Asia/Manila,fil,,,
FRNS,Fariñas Transit,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GVFL,GV Florida Bus (Global Victory Florida),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
BLWG,Baliwag Transit Inc.,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SLNTH,Solid North Transit Inc. (JAC Liner Group),https://www.jacliner.com,Asia/Manila,fil,,,
JACLN,JAC Liner Inc.,https://www.jacliner.com,Asia/Manila,fil,,,
DLTB,DLTB Co. (Del Monte Land Transport Bus Company),https://www.dltb.online,Asia/Manila,fil,,,
PHLTR,Philtranco (franchise announced to expire Mar 2026 — verify status),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
BIST,Bicol Isarog Transport System / Isarog Line,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
CODA,Coda Lines (Cordillera specialist),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SAUL,Saulog Transit Inc. (JAC Liner Group — Cavite),https://www.jacliner.com,Asia/Manila,fil,,,
DALDR,Don Aldrin Transport,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
GRME,German Espiritu Bus,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SLVST,Silver Star Shuttle and Tours,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
SAGTXPROV,San Agustin Nasugbu (provincial Batangas route — distinct from P2P),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
UPIKOT,Maroon Riders / North UP Campus Transport Cooperative (UP Ikot / Toki),https://www.upd.edu.ph,Asia/Manila,fil,,,
SETSCO,Senate Employees Transport Service Cooperative (SETSCO — modern PUJ),https://www.senate.gov.ph,Asia/Manila,fil,,,
LTFRB_PUJ,Various LTFRB-franchised Jeepney Operators (traditional and modern PUJ — operator not individually specified),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
LTFRB_UV,Various LTFRB-franchised UV Express Operators,https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
LTFRB_BUS,Various LTFRB-franchised City Bus Operators (Routes 31–68 and other unspecified operators),https://www.ltfrb.gov.ph,Asia/Manila,fil,,,
