trip_id,start_time,end_time,headway_secs,exact_times
LRT1_T1_OB,04:30:00,07:00:00,600,0
LRT1_T1_OB,07:00:00,09:30:00,240,0
LRT1_T1_OB,09:30:00,17:00:00,360,0
LRT1_T1_OB,17:00:00,20:00:00,240,0
LRT1_T1_OB,20:00:00,22:30:00,480,0
LRT1_T1_IB,04:30:00,07:00:00,600,0
LRT1_T1_IB,07:00:00,09:30:00,240,0
LRT1_T1_IB,09:30:00,17:00:00,360,0
LRT1_T1_IB,17:00:00,20:00:00,240,0
LRT1_T1_IB,20:00:00,22:30:00,480,0
LRT2_T1_OB,05:00:00,07:00:00,600,0
LRT2_T1_OB,07:00:00,09:30:00,240,0
LRT2_T1_OB,09:30:00,17:00:00,360,0
LRT2_T1_OB,17:00:00,20:00:00,240,0
LRT2_T1_OB,20:00:00,22:00:00,480,0
LRT2_T1_IB,05:00:00,07:00:00,600,0
LRT2_T1_IB,07:00:00,09:30:00,240,0
LRT2_T1_IB,09:30:00,17:00:00,360,0
LRT2_T1_IB,17:00:00,20:00:00,240,0
LRT2_T1_IB,20:00:00,22:00:00,480,0
MRT3_T1_OB,05:30:00,07:00:00,600,0
MRT3_T1_OB,07:00:00,09:30:00,240,0
MRT3_T1_OB,09:30:00,17:00:00,360,0
MRT3_T1_OB,17:00:00,20:00:00,240,0
MRT3_T1_OB,20:00:00,22:30:00,480,0
MRT3_T1_IB,05:30:00,07:00:00,600,0
MRT3_T1_IB,07:00:00,09:30:00,240,0
MRT3_T1_IB,09:30:00,17:00:00,360,0
MRT3_T1_IB,17:00:00,20:00:00,240,0
MRT3_T1_IB,20:00:00,22:30:00,480,0
EDSA-CAROUSEL_T1_OB,04:00:00,07:00:00,600,0
EDSA-CAROUSEL_T1_OB,07:00:00,09:00:00,180,0
EDSA-CAROUSEL_T1_OB,09:00:00,17:00:00,480,0
EDSA-CAROUSEL_T1_OB,17:00:00,20:00:00,180,0
EDSA-CAROUSEL_T1_OB,20:00:00,23:00:00,720,0
EDSA-CAROUSEL_T1_OB,23:00:00,28:00:00,1200,0
EDSA-CAROUSEL_T1_IB,04:00:00,07:00:00,600,0
EDSA-CAROUSEL_T1_IB,07:00:00,09:00:00,180,0
EDSA-CAROUSEL_T1_IB,09:00:00,17:00:00,480,0
EDSA-CAROUSEL_T1_IB,17:00:00,20:00:00,180,0
EDSA-CAROUSEL_T1_IB,20:00:00,23:00:00,720,0
EDSA-CAROUSEL_T1_IB,23:00:00,28:00:00,1200,0
BGC-EAST-EXPRESS_T1_OB,06:00:00,09:00:00,600,0
BGC-EAST-EXPRESS_T1_OB,09:00:00,17:00:00,900,0
BGC-EAST-EXPRESS_T1_OB,17:00:00,22:00:00,600,0
BGC-NORTH-EXPRESS_T1_OB,06:00:00,09:00:00,600,0
BGC-NORTH-EXPRESS_T1_OB,09:00:00,17:00:00,900,0
BGC-NORTH-EXPRESS_T1_OB,17:00:00,22:00:00,600,0
BGC-CENTRAL_T1_OB,06:00:00,09:00:00,600,0
BGC-CENTRAL_T1_OB,09:00:00,17:00:00,900,0
BGC-CENTRAL_T1_OB,17:00:00,22:00:00,600,0
BGC-AYALA-EXPRESS_T1_OB,06:00:00,09:00:00,600,0
BGC-AYALA-EXPRESS_T1_OB,09:00:00,17:00:00,900,0
BGC-AYALA-EXPRESS_T1_OB,17:00:00,22:00:00,600,0
BGC-LRT-AYALA_T1_OB,06:00:00,09:00:00,600,0
BGC-LRT-AYALA_T1_OB,09:00:00,17:00:00,900,0
BGC-LRT-AYALA_T1_OB,17:00:00,22:00:00,600,0
BGC-UPPER-WEST-EXPRESS_T1_OB,06:00:00,10:00:00,900,0
BGC-UPPER-WEST-EXPRESS_T1_OB,17:00:00,22:00:00,900,0
BGC-LOWER-WEST-EXPRESS_T1_OB,06:00:00,10:00:00,900,0
BGC-LOWER-WEST-EXPRESS_T1_OB,17:00:00,22:00:00,900,0
BGC-ARCA-SOUTH-EXPRESS_T1_OB,06:10:00,08:40:00,1800,0
BGC-ARCA-SOUTH-EXPRESS_T1_OB,16:30:00,19:30:00,1800,0
BGC-NUVALI-EXPRESS_T1_OB,06:30:00,07:30:00,3600,0
BGC-NUVALI-EXPRESS_T1_OB,18:30:00,20:00:00,2700,0
BGC-NIGHT_T1_OB,22:00:00,30:00:00,1800,0
BGC-WEEKEND_T1_OB,06:00:00,22:00:00,900,0
QCB-1_T1_OB,07:00:00,09:00:00,900,0
QCB-1_T1_OB,09:00:00,17:00:00,1200,0
QCB-1_T1_OB,17:00:00,20:00:00,900,0
QCB-1_T1_OB,20:00:00,21:00:00,1800,0
QCB-2_T1_OB,07:00:00,09:00:00,900,0
QCB-2_T1_OB,09:00:00,17:00:00,1200,0
QCB-2_T1_OB,17:00:00,20:00:00,900,0
QCB-2_T1_OB,20:00:00,21:00:00,1800,0
QCB-3_T1_OB,07:00:00,09:00:00,900,0
QCB-3_T1_OB,09:00:00,17:00:00,1200,0
QCB-3_T1_OB,17:00:00,20:00:00,900,0
QCB-3_T1_OB,20:00:00,21:00:00,1800,0
QCB-4_T1_OB,07:00:00,09:00:00,900,0
QCB-4_T1_OB,09:00:00,17:00:00,1200,0
QCB-4_T1_OB,17:00:00,20:00:00,900,0
QCB-4_T1_OB,20:00:00,21:00:00,1800,0
QCB-5_T1_OB,07:00:00,09:00:00,900,0
QCB-5_T1_OB,09:00:00,17:00:00,1200,0
QCB-5_T1_OB,17:00:00,20:00:00,900,0
QCB-5_T1_OB,20:00:00,21:00:00,1800,0
QCB-6_T1_OB,07:00:00,09:00:00,900,0
QCB-6_T1_OB,09:00:00,17:00:00,1200,0
QCB-6_T1_OB,17:00:00,20:00:00,900,0
QCB-6_T1_OB,20:00:00,21:00:00,1800,0
QCB-7_T1_OB,07:00:00,09:00:00,900,0
QCB-7_T1_OB,09:00:00,17:00:00,1200,0
QCB-7_T1_OB,17:00:00,20:00:00,900,0
QCB-7_T1_OB,20:00:00,21:00:00,1800,0
QCB-8_T1_OB,07:00:00,09:00:00,900,0
