shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP_LRT1,14.4947,120.9925,1,0.0
SHP_LRT1,14.503,121.008,2,1.907
SHP_LRT1,14.511,121.005,3,2.853
SHP_LRT1,14.5198,121.001,4,3.922
SHP_LRT1,14.527,120.998,5,4.786
SHP_LRT1,14.5339,120.998,6,5.553
SHP_LRT1,14.5376,121.0003,7,6.033
SHP_LRT1,14.5428,120.9983,8,6.65
SHP_LRT1,14.5518,120.9974,9,7.655
SHP_LRT1,14.5618,120.994,10,8.826
SHP_LRT1,14.5717,120.9906,11,9.986
SHP_LRT1,14.5803,120.9879,12,10.985
SHP_LRT1,14.5857,120.986,13,11.62
SHP_LRT1,14.5934,120.9817,14,12.593
SHP_LRT1,14.5974,120.9817,15,13.038
SHP_LRT1,14.5989,120.9851,16,13.44
SHP_LRT1,14.603,120.9876,17,13.969
SHP_LRT1,14.61,120.9889,18,14.76
SHP_LRT1,14.6173,120.99,19,15.58
SHP_LRT1,14.626,120.9895,20,16.549
SHP_LRT1,14.6327,120.9887,21,17.299
SHP_LRT1,14.6397,120.9862,22,18.123
SHP_LRT1,14.6561,120.984,23,19.962
SHP_LRT1,14.6724,120.9814,24,21.796
SHP_LRT1,14.694,120.9837,25,24.21
SHP_LRT2,14.5989,120.9851,1,0.0
SHP_LRT2,14.5985,120.9937,2,0.926
SHP_LRT2,14.5968,120.9996,3,1.589
SHP_LRT2,14.5955,121.0063,4,2.324
SHP_LRT2,14.5959,121.0141,5,3.165
SHP_LRT2,14.598,121.0222,6,4.067
SHP_LRT2,14.6012,121.0291,7,4.89
SHP_LRT2,14.6194,121.0533,8,8.188
SHP_LRT2,14.6237,121.062,9,9.239
SHP_LRT2,14.6309,121.0697,10,10.391
SHP_LRT2,14.638,121.0771,11,11.513
SHP_LRT2,14.6458,121.0934,12,13.469
SHP_LRT2,14.6512,121.1254,13,16.964
SHP_MRT3,14.6522,121.0328,1,0.0
SHP_MRT3,14.6441,121.0399,2,1.181
SHP_MRT3,14.6356,121.0412,3,2.136
SHP_MRT3,14.6222,121.0517,4,4.006
SHP_MRT3,14.609,121.0484,5,5.516
SHP_MRT3,14.5876,121.0567,6,8.058
SHP_MRT3,14.5818,121.0527,7,8.833
SHP_MRT3,14.5762,121.0489,8,9.578
SHP_MRT3,14.5689,121.0469,9,10.418
SHP_MRT3,14.5605,121.045,10,11.374
SHP_MRT3,14.5491,121.0478,11,12.677
SHP_MRT3,14.542,121.0422,12,13.671
SHP_MRT3,14.5376,121.0003,13,18.207
SHP_PNR,14.6064,120.9657,1,0.0
SHP_PNR,14.6053,120.9956,2,3.22
SHP_PNR,14.6117,120.9911,3,4.08
