stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
PS_DOROTEO_JOSE,,Doroteo Jose / Recto Interchange,Parent station: LRT-1 Doroteo Jose and LRT-2 Recto transfer node,14.5989,120.9851,ZONE_1,1,
PS_TAFT_EDSA,,Taft Ave / EDSA Interchange,Parent station: LRT-1 EDSA Station and MRT-3 Taft Ave Station transfer node,14.5376,121.0003,ZONE_1,1,
PS_CUBAO,,Cubao Interchange,Parent station: LRT-2 Cubao and MRT-3 Cubao transfer node,14.6194,121.0533,ZONE_2,1,
LRT1-BACLARAN,LRT1-01,Baclaran Station (LRT-1),LRT-1 southern terminus; PITX connector south,14.5339,120.9980,ZONE_1,0,
LRT1-EDSA,LRT1-02,EDSA Station (LRT-1),LRT-1/MRT-3 interchange at Taft Ave / EDSA,14.5376,121.0003,ZONE_1,0,PS_TAFT_EDSA
LRT1-LIBERTAD,LRT1-03,Libertad Station (LRT-1),Taft Ave at Libertad St Pasay,14.5428,120.9983,ZONE_1,0,
LRT1-GIL-PUYAT,LRT1-04,Gil Puyat Station (LRT-1),Taft Ave at Sen Gil Puyat Ave / Buendia,14.5518,120.9974,ZONE_1,0,
LRT1-VITO-CRUZ,LRT1-05,Vito Cruz Station (LRT-1),Taft Ave at Pablo Ocampo Sr (Vito Cruz),14.5618,120.9940,ZONE_1,0,
LRT1-QUIRINO,LRT1-06,Quirino Station (LRT-1),Taft Ave at Quirino Ave Malate,14.5717,120.9906,ZONE_1,0,
LRT1-PEDRO-GIL,LRT1-07,Pedro Gil Station (LRT-1),Taft Ave at Pedro Gil Ermita,14.5803,120.9879,ZONE_1,0,
LRT1-UN-AVENUE,LRT1-08,United Nations Ave Station (LRT-1),Taft Ave at United Nations Ave,14.5857,120.9860,ZONE_1,0,
LRT1-CENTRAL,LRT1-09,Central Terminal Station (LRT-1),Taft Ave at Florentino Torres; bus/jeepney hub,14.5934,120.9817,ZONE_1,0,
LRT1-CARRIEDO,LRT1-10,Carriedo Station (LRT-1),Taft Ave at Carriedo St; Quiapo area,14.5974,120.9817,ZONE_1,0,
LRT1-DOROTEO,LRT1-11,Doroteo Jose Station (LRT-1),LRT-1/LRT-2 interchange; Recto Ave,14.5989,120.9851,ZONE_1,0,PS_DOROTEO_JOSE
LRT1-BAMBANG,LRT1-12,Bambang Station (LRT-1),Taft Ave Extension at Bambang St,14.6030,120.9876,ZONE_1,0,
LRT1-TAYUMAN,LRT1-13,Tayuman Station (LRT-1),Taft Ave Ext at Tayuman St Sta Cruz,14.6100,120.9889,ZONE_1,0,
LRT1-BLUMENTRITT,LRT1-14,Blumentritt Station (LRT-1),Taft Ave Ext at Blumentritt; transfer hub,14.6173,120.9900,ZONE_1,0,
LRT1-ABAD-SANTOS,LRT1-15,Abad Santos Station (LRT-1),Taft Ave Ext at A Santos Ave Caloocan,14.6260,120.9895,ZONE_2,0,
LRT1-R-PAPA,LRT1-16,R. Papa Station (LRT-1),Taft Ave Ext at R Papa St Caloocan,14.6327,120.9887,ZONE_2,0,
LRT1-5TH-AVENUE,LRT1-17,5th Avenue Station (LRT-1),Rizal Ave Ext at 5th Ave Caloocan,14.6397,120.9862,ZONE_2,0,
LRT1-MONUMENTO,LRT1-18,Monumento Station (LRT-1),Rizal Ave at EDSA Monumento Caloocan; major hub,14.6561,120.9840,ZONE_2,0,
LRT1-BALINTAWAK,LRT1-19,Balintawak Station (LRT-1),NLEX service road Caloocan / QC border; northern terminus original,14.6724,120.9814,ZONE_2,0,
LRT1-FPJ,LRT1-20,Fernando Poe Jr. Station (LRT-1),LRT-1 far north terminus; Congress Ave QC,14.6940,120.9837,ZONE_2,0,
LRT1-REDEMPTORIST,LRT1-21,Redemptorist-Aseana Station (LRT-1 Cavite Extension),Near Ayala Malls Manila Bay; Pasay-Parañaque border,14.5270,120.9980,ZONE_3,0,
LRT1-MIA-ROAD,LRT1-22,MIA Road Station (LRT-1 Cavite Extension),Near NAIA airport access road Parañaque,14.5198,121.0010,ZONE_3,0,
LRT1-NINOY-AQUINO,LRT1-23,Ninoy Aquino Avenue Station (LRT-1 Cavite Extension),Ninoy Aquino Ave Parañaque,14.5110,121.0050,ZONE_3,0,
LRT1-DR-SANTOS,LRT1-24,Dr. Santos Station (LRT-1 Cavite Extension),Dr Santos Ave (F Llamas) Las Piñas / Parañaque,14.5030,121.0080,ZONE_3,0,
LRT1-PITX,LRT1-25,Asia World–PITX Station (LRT-1 Cavite Extension),Southern terminus; intermodal with PITX bus terminal,14.4947,120.9925,ZONE_3,0,
LRT2-RECTO,LRT2-01,Recto Station (LRT-2),LRT-2 western terminus; LRT-1 Doroteo Jose interchange,14.5989,120.9851,ZONE_1,0,PS_DOROTEO_JOSE
LRT2-LEGARDA,LRT2-02,Legarda Station (LRT-2),R Magsaysay Blvd at Legarda St Sampaloc,14.5985,120.9937,ZONE_1,0,
LRT2-PUREZA,LRT2-03,Pureza Station (LRT-2),R Magsaysay Blvd at Pureza St Sta Mesa,14.5968,120.9996,ZONE_1,0,
LRT2-V-MAPA,LRT2-04,V. Mapa Station (LRT-2),R Magsaysay Blvd at V Mapa St Sta Mesa,14.5955,121.0063,ZONE_1,0,
LRT2-J-RUIZ,LRT2-05,J. Ruiz Station (LRT-2),R Magsaysay Blvd at J Ruiz St San Juan,14.5959,121.0141,ZONE_2,0,
LRT2-GILMORE,LRT2-06,Gilmore Station (LRT-2),Aurora Blvd at Gilmore Ave QC / San Juan,14.5980,121.0222,ZONE_2,0,
LRT2-BETTY-GO,LRT2-07,Betty Go-Belmonte Station (LRT-2),Aurora Blvd at Betty Go St QC,14.6012,121.0291,ZONE_2,0,
LRT2-CUBAO,LRT2-08,Cubao Station (LRT-2),Aurora Blvd at P Tuazon QC; MRT-3 Cubao interchange,14.6194,121.0533,ZONE_2,0,PS_CUBAO
LRT2-ANONAS,LRT2-09,Anonas Station (LRT-2),Aurora Blvd at Anonas St QC,14.6237,121.0620,ZONE_2,0,
LRT2-KATIPUNAN,LRT2-10,Katipunan Station (LRT-2),Katipunan Ave near Aurora Blvd QC,14.6309,121.0697,ZONE_2,0,
LRT2-LOYOLA,LRT2-11,Loyola Station (LRT-2),Katipunan Ave at Loyola Heights QC,14.6380,121.0771,ZONE_2,0,
LRT2-SANTOLAN,LRT2-12,Santolan Station (LRT-2),Marcos Hwy at Santolan; QC / Marikina border,14.6458,121.0934,ZONE_2,0,
LRT2-ANTIPOLO,LRT2-13,Antipolo Station (LRT-2),LRT-2 eastern terminus near Antipolo border,14.6512,121.1254,ZONE_4,0,
MRT3-NORTH-AVE,MRT3-01,North Avenue Station (MRT-3),EDSA at North Ave QC; northern terminus; SM North interchange,14.6522,121.0328,ZONE_2,0,
MRT3-QUEZON-AVE,MRT3-02,Quezon Avenue Station (MRT-3),EDSA at Quezon Ave QC,14.6441,121.0399,ZONE_2,0,
MRT3-GMA-KAMUNING,MRT3-03,GMA-Kamuning Station (MRT-3),EDSA at Kamuning Rd QC,14.6356,121.0412,ZONE_2,0,
MRT3-CUBAO,MRT3-04,Cubao Station (MRT-3),EDSA at P Tuazon Cubao; LRT-2 Cubao interchange,14.6222,121.0517,ZONE_2,0,PS_CUBAO
MRT3-SANTOLAN-ANNAPOLIS,MRT3-05,Santolan-Annapolis Station (MRT-3),EDSA at Annapolis St San Juan,14.6090,121.0484,ZONE_2,0,
MRT3-ORTIGAS,MRT3-06,Ortigas Station (MRT-3),EDSA at Ortigas Ave Pasig / Mandaluyong,14.5876,121.0567,ZONE_2,0,
MRT3-SHAW,MRT3-07,Shaw Boulevard Station (MRT-3),EDSA at Shaw Blvd Mandaluyong,14.5818,121.0527,ZONE_2,0,
MRT3-BONI,MRT3-08,Boni Station (MRT-3),EDSA at Boni Ave Mandaluyong,14.5762,121.0489,ZONE_2,0,
