route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
LRT1,WD_FULL,LRT1_T1_OB,FPJ / Congress,0,SHP_LRT1,1
LRT1,WD_FULL,LRT1_T1_IB,PITX / Cavite Ext.,1,SHP_LRT1,1
LRT2,WD_FULL,LRT2_T1_OB,Antipolo,0,SHP_LRT2,1
LRT2,WD_FULL,LRT2_T1_IB,Recto,1,SHP_LRT2,1
MRT3,WD_FULL,MRT3_T1_OB,Taft Avenue / EDSA,0,SHP_MRT3,1
MRT3,WD_FULL,MRT3_T1_IB,North Avenue,1,SHP_MRT3,1
EDSA-CAROUSEL,WD_FULL,EDSA-CAROUSEL_T1_OB,SM North EDSA / Fairview,0,SHP_EDSA_CAR,1
EDSA-CAROUSEL,WD_FULL,EDSA-CAROUSEL_T1_IB,PITX / MOA,1,SHP_EDSA_CAR,1
BGC-EAST-EXPRESS,WD_FULL,BGC-EAST-EXPRESS_T1_OB,BGC Bus East Express,0,SHP_BGC_EAST_EXPRESS,1
BGC-NORTH-EXPRESS,WD_FULL,BGC-NORTH-EXPRESS_T1_OB,BGC Bus North Express,0,SHP_BGC_NORTH_EXPRESS,1
BGC-UPPER-WEST-EXPRESS,WD_FULL,BGC-UPPER-WEST-EXPRESS_T1_OB,BGC Bus Upper West Express,0,SHP_BGC_UPPER_WEST_EXPRESS,1
BGC-LOWER-WEST-EXPRESS,WD_FULL,BGC-LOWER-WEST-EXPRESS_T1_OB,BGC Bus Lower West Express,0,SHP_BGC_LOWER_WEST_EXPRESS,1
BGC-CENTRAL,WD_FULL,BGC-CENTRAL_T1_OB,BGC Bus Central Route,0,SHP_BGC_CENTRAL,1
BGC-AYALA-EXPRESS,WD_FULL,BGC-AYALA-EXPRESS_T1_OB,BGC Bus Ayala Express,0,SHP_BGC_AYALA_EXPRESS,1
BGC-ARCA-SOUTH-EXPRESS,WD_FULL,BGC-ARCA-SOUTH-EXPRESS_T1_OB,BGC Bus Arca South Express,0,SHP_BGC_ARCA_SOUTH_EXPRESS,1
BGC-NUVALI-EXPRESS,WD_FULL,BGC-NUVALI-EXPRESS_T1_OB,BGC Bus Nuvali Express,0,SHP_BGC_NUVALI_EXPRESS,1
BGC-NIGHT,WD_FULL,BGC-NIGHT_T1_OB,BGC Bus Night Route,0,SHP_BGC_NIGHT,1
BGC-WEEKEND,WE_FULL,BGC-WEEKEND_T1_OB,BGC Bus Weekend Route,0,SHP_BGC_WEEKEND,1
BGC-LRT-AYALA,WD_FULL,BGC-LRT-AYALA_T1_OB,BGC Bus LRT-Ayala Route,0,,1
BUS-2,WD_FULL,BUS-2_T1_OB,Quiapo via Ortigas,0,SHP_BUS_2,1
BUS-3,WD_FULL,BUS-3_T1_OB,Quiapo via Aurora,0,SHP_BUS_3,1
BUS-4,WD_FULL,BUS-4_T1_OB,BGC via Buendia,0,SHP_BUS_4,1
